"Date";"Event";"AgeGroup";"RegionName";"New";"Cumulative";"Instant"
"2020-03-03";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-04";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-04";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-04";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-04";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-04";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-04";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-04";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-04";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-04";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-04";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-05";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-05";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-05";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-05";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-05";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-05";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-05";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-05";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
"2020-03-05";"Hospitalised";"60+";"Syddanmark";NA;NA;NA
"2020-03-05";"Hospitalised";"60+";"Zealand";NA;NA;NA
"2020-03-06";"Hospitalised";"0-59";"Hovedstaden";NA;NA;NA
"2020-03-06";"Hospitalised";"0-59";"Midtjylland";NA;NA;NA
"2020-03-06";"Hospitalised";"0-59";"Nordjylland";NA;NA;NA
"2020-03-06";"Hospitalised";"0-59";"Syddanmark";NA;NA;NA
"2020-03-06";"Hospitalised";"0-59";"Zealand";NA;NA;NA
"2020-03-06";"Hospitalised";"60+";"Hovedstaden";NA;NA;NA
"2020-03-06";"Hospitalised";"60+";"Midtjylland";NA;NA;NA
"2020-03-06";"Hospitalised";"60+";"Nordjylland";NA;NA;NA
